District,Season,Pesticide,Percentage_use
Rusizi,B,Pilkare,0.00
Rusizi,B,Rocket,23.81
Rusizi,B,Beam,0.00
Rusizi,B,Other ,14.29
Rusizi,C,Dithane,23.60
Rusizi,C,Ridomil,0.40
Rusizi,C,Dimethoate,18.40
Rusizi,C,Cypermethrin,8.00
Rusizi,C,Rocket,16.80
Rusizi,C,Beam,0.00
Rusizi,C,Others,32.80
Rutsiro,A,Dithane,54.48
Rutsiro,A,Ridomil,33.83
Rutsiro,A,Dimethoate,0.31
Rutsiro,A,Cypermethrin,8.05
Rutsiro,A,Dursiban,0.00
Rutsiro,A,Rocket,2.33
Rutsiro,A,Beam,0.00
Rutsiro,A,Others,1.00
Rutsiro,B,Dithane,85.56
Rutsiro,B,Ridomil,0.00
Rutsiro,B,Dimethoate,0.00
Rutsiro,B,Cypermethrine,5.56
Rutsiro,B,Pilkare,0.00
Rutsiro,B,Rocket,6.67
Rutsiro,B,Beam,0.00
Rutsiro,B,Other ,2.22
Rutsiro,C,Dithane,55.41
Rutsiro,C,Ridomil,4.05
Rutsiro,C,Dimethoate,0.00
Rutsiro,C,Cypermethrin,27.03
Rutsiro,C,Rocket,10.81
Rutsiro,C,Beam,0.00
Rutsiro,C,Others,2.70
Rwamagana,A,Dithane,19.88
Rwamagana,A,Ridomil,2.12
Rwamagana,A,Dimethoate,9.23
Rwamagana,A,Cypermethrin,4.94
Rwamagana,A,Dursiban,0.00
Rwamagana,A,Rocket,53.07
Rwamagana,A,Beam,0.01
Rwamagana,A,Others,10.74
Rwamagana,B,Dithane,26.61
Rwamagana,B,Ridomil,3.67
Rwamagana,B,Dimethoate,9.17
Rwamagana,B,Cypermethrine,8.26
Rwamagana,B,Pilkare,0.00
Rwamagana,B,Rocket,32.11
Rwamagana,B,Beam,3.67
Rwamagana,B,Other ,16.51
Rwamagana,C,Dithane,21.83
Rwamagana,C,Ridomil,0.35
Rwamagana,C,Dimethoate,23.94
Rwamagana,C,Cypermethrin,5.28
Rwamagana,C,Rocket,17.25
Rwamagana,C,Beam,0.00
Rwamagana,C,Others,31.34
