District,Crop,Season,Average yield
Karongi,vegetables,A,8257.10
Karongi,Fruits,A,3509.96
Karongi,Fodder crops,A,12753.84
Karongi,Other crops,A,607.89
Karongi,Maize,B,1338.76
Karongi,Sorghum,B,895.51
Karongi,Paddy rice,B,0.00
Karongi,Wheat,B,806.36
Karongi,Chia seeds,B,0.00
Karongi,Other Cereals,B,0.00
Karongi,Cassava,B,15768.29
Karongi,Sweet potatoes,B,10487.49
Karongi,Irish potatoes,B,3447.12
Karongi,Yams & Taro,B,9362.83
Karongi,Bananas,B,10349.28
Karongi,Cooking Banana,B,14766.54
Karongi,Dessert banana,B,12538.40
Karongi,Banana for beer,B,9960.13
Karongi,Beans,B,1066.79
Karongi,Bush bean,B,834.56
Karongi,Climbing bean,B,1167.47
Karongi,Peas,B,945.32
Karongi,Ground nuts,B,0.00
Karongi,Soya beans,B,574.51
Karongi,Vegetables,B,9203.79
Karongi,Fruits,B,8381.14
Karongi,Fodder crops,B,14493.41
Karongi,Other crops,B,938.77
Karongi,Tubers and Roots,C,8199.36
Karongi,Sweet potatoes,C,6268.19
Karongi,Irish potatoes,C,11104.89
Karongi,Bean,C,1063.71
Karongi,Bush bean,C,1167.03
Karongi,Climbing bean,C,0.00
Karongi,Peas,C,503.48
Karongi,Soya beans,C,571.80
Karongi,Vegetables,C,8567.21
Kayonza,Maize,A,1346.74
Kayonza,Sorghum,A,1077.83
Kayonza,Paddy rice,A,4196.90
Kayonza,Wheat,A,0.00
Kayonza,Other cereals,A,441.96
Kayonza,Cassava,A,12846.48
Kayonza,Sweet potato,A,6536.09
Kayonza,Irish potato,A,3052.69
Kayonza,Yams & Taro,A,5367.68
Kayonza,Bananas,A,12638.04
Kayonza,Cooking banana,A,15141.66
Kayonza,Dessert banana,A,7859.82
Kayonza,Banana for beer,A,8721.14
Kayonza,Bean,A,540.58
Kayonza,Bush bean,A,540.18
Kayonza,Climbing bean,A,610.87
Kayonza,Pea,A,442.03
Kayonza,Groundnuts,A,227.55
Kayonza,Soybean,A,313.47
Kayonza,vegetables,A,7033.99
Kayonza,Fruits,A,5682.71
Kayonza,Fodder crops,A,7110.17
